                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.4482,                 1.0856,                0.93045,                0.41724,                0.30933,                0.30768,                0.17889,                 1.3617,                  1.023,                0.90834,               0.005182,               0.005182,               0.005182
                     76,                 1.4496,                 1.0902,                0.93191,                0.42442,                0.30814,                0.30692,                0.17909,                 1.3609,                 1.0242,                0.90839,               0.005116,               0.005116,               0.005116
                     77,                 1.4372,                 1.0776,                0.92734,                0.41441,                0.31229,                0.30419,                0.17715,                 1.3619,                  1.023,                0.90822,                0.00505,                0.00505,                0.00505
                     78,                 1.4395,                 1.0752,                0.92777,                0.41898,                0.31173,                0.30609,                0.17821,                 1.3619,                 1.0226,                0.90805,               0.004984,               0.004984,               0.004984
                     79,                 1.4435,                 1.0775,                0.93061,                   0.42,                0.31215,                 0.3071,                0.17841,                 1.3596,                 1.0214,                0.90704,               0.004918,               0.004918,               0.004918
                     80,                   1.45,                 1.0816,                0.92954,                0.41789,                0.31513,                0.30781,                0.17835,                 1.3571,                 1.0192,                0.90625,               0.004852,               0.004852,               0.004852
                     81,                 1.4419,                 1.0758,                0.92699,                0.42018,                0.31093,                0.30679,                0.17838,                 1.3586,                 1.0167,                0.90672,               0.004786,               0.004786,               0.004786
                     82,                 1.4397,                 1.0702,                0.92688,                0.42062,                 0.3146,                0.30938,                0.17988,                  1.356,                 1.0148,                0.90667,                0.00472,                0.00472,                0.00472
                     83,                 1.4395,                  1.071,                0.92772,                0.42099,                0.31455,                0.30979,                0.18034,                 1.3563,                 1.0143,                0.90674,               0.004654,               0.004654,               0.004654
                     84,                 1.4385,                  1.074,                0.92785,                0.42264,                0.31722,                0.31119,                0.18135,                 1.3525,                 1.0122,                0.90634,               0.004588,               0.004588,               0.004588
                     85,                 1.4293,                 1.0662,                0.92675,                0.41249,                0.31679,                0.31033,                0.18093,                 1.3523,                 1.0137,                0.90613,               0.004522,               0.004522,               0.004522
                     86,                 1.4396,                 1.0695,                0.92817,                0.42096,                0.31435,                0.31019,                0.18066,                 1.3509,                 1.0112,                0.90558,               0.004456,               0.004456,               0.004456
                     87,                 1.4262,                 1.0599,                0.92619,                0.41892,                0.31782,                0.31116,                0.18064,                 1.3509,                   1.01,                0.90595,                0.00439,                0.00439,                0.00439
                     88,                 1.4255,                 1.0563,                0.92519,                 0.4214,                0.31564,                0.31292,                0.18235,                 1.3501,                 1.0091,                0.90585,               0.004324,               0.004324,               0.004324
                     89,                 1.4337,                 1.0601,                0.92528,                 0.4277,                0.31666,                0.31281,                0.18249,                 1.3486,                 1.0085,                0.90529,               0.004258,               0.004258,               0.004258
                     90,                 1.4275,                 1.0607,                0.92438,                 0.4281,                 0.3168,                0.31455,                0.18312,                 1.3474,                 1.0069,                0.90541,               0.004192,               0.004192,               0.004192
                     91,                  1.423,                 1.0542,                0.92404,                 0.4312,                0.31589,                0.31374,                0.18271,                 1.3473,                 1.0068,                0.90482,               0.004126,               0.004126,               0.004126
                     92,                  1.419,                 1.0498,                  0.922,                0.42819,                0.31372,                 0.3136,                0.18249,                  1.346,                 1.0052,                 0.9045,                0.00406,                0.00406,                0.00406
                     93,                 1.4154,                 1.0485,                0.92364,                0.43175,                0.31462,                0.31371,                0.18261,                 1.3447,                 1.0044,                0.90413,               0.003994,               0.003994,               0.003994
                     94,                  1.424,                  1.051,                0.92334,                0.41712,                 0.3199,                0.31278,                0.18216,                 1.3467,                 1.0039,                0.90446,               0.003928,               0.003928,               0.003928
                     95,                 1.4087,                 1.0413,                0.92153,                0.42551,                0.31829,                 0.3143,                0.18305,                 1.3453,                 1.0038,                0.90395,               0.003862,               0.003862,               0.003862
                     96,                 1.4222,                 1.0513,                0.92328,                0.42989,                0.31709,                0.31489,                0.18356,                 1.3437,                 1.0027,                0.90339,               0.003796,               0.003796,               0.003796
                     97,                 1.4121,                 1.0411,                0.92162,                0.42337,                0.32091,                0.31522,                 0.1838,                  1.342,                 1.0032,                0.90343,                0.00373,                0.00373,                0.00373
                     98,                  1.412,                 1.0385,                0.92295,                0.43078,                0.31912,                0.31487,                0.18381,                 1.3402,                 1.0017,                0.90325,               0.003664,               0.003664,               0.003664
                     99,                 1.4139,                  1.039,                0.92213,                0.42915,                0.31961,                0.31598,                0.18406,                 1.3414,                 1.0011,                0.90361,               0.003598,               0.003598,               0.003598
                    100,                 1.4128,                 1.0425,                0.92201,                0.42427,                0.32289,                0.31505,                0.18381,                 1.3417,                 1.0003,                0.90349,               0.003532,               0.003532,               0.003532
                    101,                 1.4108,                 1.0332,                0.92028,                0.42363,                0.32473,                0.31559,                0.18433,                 1.3408,                0.99945,                0.90298,               0.003466,               0.003466,               0.003466
                    102,                 1.4083,                 1.0376,                0.92015,                 0.4258,                0.32296,                0.31689,                0.18534,                 1.3412,                0.99907,                0.90341,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.4056,                 1.0309,                0.91919,                0.43591,                0.31947,                0.31766,                0.18559,                   1.34,                 0.9974,                0.90332,               0.003334,               0.003334,               0.003334
