                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.3681,                0.97951,                0.95221,                0.42971,                0.31981,                0.32024,                0.18472,                 1.3225,                0.96228,                0.92691,               0.002212,               0.002212,               0.002212
                    121,                 1.3731,                0.98092,                0.95094,                 0.4308,                0.31825,                0.31965,                0.18459,                 1.3226,                0.96204,                0.92682,               0.002146,               0.002146,               0.002146
                    122,                 1.3643,                0.97553,                0.94921,                0.42943,                0.32015,                0.32031,                0.18477,                 1.3221,                0.96141,                0.92676,                0.00208,                0.00208,                0.00208
                    123,                 1.3711,                0.98359,                0.94922,                0.43224,                0.31935,                0.32034,                0.18465,                 1.3219,                 0.9606,                0.92665,               0.002014,               0.002014,               0.002014
                    124,                 1.3657,                0.97392,                0.94833,                 0.4313,                0.32133,                0.32087,                0.18496,                 1.3216,                0.96036,                0.92659,               0.001948,               0.001948,               0.001948
                    125,                 1.3634,                0.97126,                0.94777,                0.42693,                0.32189,                0.32111,                0.18526,                 1.3216,                0.96022,                0.92646,               0.001882,               0.001882,               0.001882
                    126,                 1.3731,                0.97817,                0.94869,                 0.4298,                0.32279,                0.32125,                0.18535,                 1.3217,                0.95996,                 0.9265,               0.001816,               0.001816,               0.001816
                    127,                 1.3636,                0.97131,                 0.9469,                0.42949,                0.32245,                0.32141,                0.18515,                 1.3218,                0.95964,                0.92651,                0.00175,                0.00175,                0.00175
                    128,                 1.3634,                0.97188,                0.95052,                0.42862,                0.32141,                0.32164,                0.18549,                 1.3214,                0.95965,                0.92645,               0.001684,               0.001684,               0.001684
                    129,                 1.3599,                0.96424,                0.94736,                0.42648,                0.32094,                0.32156,                0.18529,                 1.3216,                0.95942,                0.92646,               0.001618,               0.001618,               0.001618
                    130,                 1.3581,                0.96248,                0.94703,                0.42806,                0.32016,                 0.3213,                0.18512,                 1.3216,                0.95922,                0.92651,               0.001552,               0.001552,               0.001552
                    131,                 1.3633,                0.96866,                0.94964,                0.43049,                0.31961,                0.32183,                0.18527,                 1.3218,                0.95907,                0.92654,               0.001486,               0.001486,               0.001486
                    132,                 1.3619,                0.96931,                0.94834,                0.43125,                0.32027,                0.32221,                0.18574,                 1.3218,                0.95897,                0.92656,                0.00142,                0.00142,                0.00142
                    133,                 1.3588,                 0.9673,                0.94965,                0.43019,                0.32076,                0.32203,                0.18552,                 1.3217,                0.95857,                0.92642,               0.001354,               0.001354,               0.001354
                    134,                 1.3642,                0.96612,                0.94682,                0.43125,                 0.3207,                0.32192,                0.18546,                 1.3218,                0.95868,                0.92634,               0.001288,               0.001288,               0.001288
                    135,                 1.3548,                 0.9603,                0.94639,                0.43262,                0.32088,                0.32237,                0.18569,                 1.3217,                0.95841,                0.92628,               0.001222,               0.001222,               0.001222
                    136,                 1.3587,                0.95706,                0.94802,                0.43349,                0.31985,                0.32238,                0.18596,                 1.3216,                0.95829,                0.92615,               0.001156,               0.001156,               0.001156
                    137,                 1.3497,                0.95666,                0.94471,                0.43469,                0.31935,                0.32272,                 0.1859,                 1.3214,                0.95785,                0.92615,                0.00109,                0.00109,                0.00109
                    138,                 1.3504,                0.95235,                0.94659,                0.43521,                0.32023,                 0.3227,                0.18602,                 1.3215,                0.95792,                0.92616,               0.001024,               0.001024,               0.001024
                    139,                 1.3503,                0.95445,                0.94599,                0.43371,                 0.3207,                0.32282,                0.18598,                 1.3214,                0.95754,                0.92619,               0.000958,               0.000958,               0.000958
                    140,                 1.3484,                0.95697,                0.94669,                0.43793,                0.31987,                0.32265,                0.18589,                 1.3214,                0.95745,                0.92616,               0.000892,               0.000892,               0.000892
                    141,                 1.3302,                0.93045,                0.95235,                 0.4316,                0.32209,                0.32252,                0.18587,                 1.3214,                0.95771,                0.92619,               0.000826,               0.000826,               0.000826
                    142,                 1.3198,                 0.9183,                0.94955,                 0.4303,                0.32238,                0.32262,                0.18572,                 1.3213,                0.95797,                0.92621,                0.00076,                0.00076,                0.00076
                    143,                 1.3198,                0.91602,                0.94954,                 0.4302,                0.32175,                0.32256,                0.18564,                 1.3216,                 0.9583,                0.92615,               0.000694,               0.000694,               0.000694
                    144,                 1.3169,                0.91089,                0.94679,                0.42943,                0.32265,                0.32282,                0.18559,                 1.3215,                0.95846,                0.92611,               0.000628,               0.000628,               0.000628
                    145,                 1.3123,                0.91017,                0.94638,                0.43162,                 0.3223,                0.32302,                0.18566,                 1.3216,                0.95871,                0.92607,               0.000562,               0.000562,               0.000562
                    146,                 1.3107,                0.90671,                0.94759,                0.43415,                0.32118,                0.32291,                0.18593,                 1.3219,                0.95932,                0.92616,               0.000496,               0.000496,               0.000496
                    147,                 1.3119,                0.90813,                0.94744,                0.42742,                0.32352,                0.32292,                0.18585,                 1.3221,                0.95908,                0.92613,                0.00043,                0.00043,                0.00043
                    148,                  1.305,                0.90338,                0.94318,                0.42823,                0.32397,                0.32284,                0.18586,                  1.322,                0.95931,                0.92613,               0.000364,               0.000364,               0.000364
                    149,                 1.3058,                0.90228,                0.94419,                0.42805,                0.32388,                0.32318,                0.18591,                 1.3224,                0.95942,                0.92615,               0.000298,               0.000298,               0.000298
                    150,                 1.2967,                0.89286,                0.94407,                0.42451,                0.32537,                0.32309,                0.18596,                 1.3227,                0.95974,                0.92615,               0.000232,               0.000232,               0.000232
